词语	拼音	词性	分级	义类编码
阿姨	āyí	名	1	壹一Bb
啊	ā	叹	1	玖四Ca
啊	ā	叹	1	玖五Ba
哎	āi	叹	2	玖五Ba
哀兵必胜	āibīng-bìshèng		4	伍八Ca
哀悼	āidào	动	4	伍五Xb
哀鸣	āimíng	动	4	伍六Ab
哀求	āiqiú	动	3	陆九Kc
哀伤	āishāng	形	3	伍五Ba
哀思	āisī	名	4	叁三Bc
哀叹	āitàn	动	4	伍五Bg
哀痛	āitòng	形	3	伍五Ba
挨	ái	动	2	伍八Ja
挨	āi	动	2	柒二Fb
挨	āi	介	3	玖二Eb
挨家挨户	āijiā-āihù		2	玖一Cd
唉声叹气	āishēng-tànqì		2	伍五Bg
癌	ái	名	3	叁九Ea
矮	ǎi	形	1	捌一Bb
矮小	ǎixiǎo	形	2	捌一Bb
艾滋病	àizībìng	名	4	叁九Ea
爱	ài	动	1	伍五Ga
爱	ài	动	1	伍五Ka
爱不释手	àibùshìshǒu		2	伍五Ga
爱财如命	àicái-rúmìng		2	捌五Lb
爱戴	àidài	动	3	伍五Qe
爱抚	àifǔ	动	3	伍五Ga
爱好	àihào	名	2	叁三Eb
爱好	àihào	动	2	伍五Ga
爱护	àihù	动	1	伍五Ka
爱莫能助	àimònéngzhù		4	伍五Be
爱慕	àimù	动	4	伍五Ga
爱情	àiqíng	名	2	叁三Bb
爱人	ài·ren	名	2	壹一Dc
爱屋及乌	àiwū-jíwū		3	伍五Ga
爱惜	àixī	动	1	伍五Ka
爱心	àixīn	名	1	叁三Ac
隘口	àikǒu	名	4	肆二Dc
碍事	ài//shì	形	3	捌四Fd
碍手碍脚	àishǒu-àijiǎo		3	捌四Fd
安	ān	动	2	陆三Ab
安定	āndìng	形	3	捌六Ba
安顿	āndùn	动	4	陆一Gb
安放	ānfàng	动	3	伍一Ea
安分	ānfèn	形	3	捌五Ed
安分守己	ānfèn-shǒujǐ		3	捌五Ed
安抚	ānfǔ	动	3	陆九Hd
安好	ānhǎo	形	3	捌六Aa
安家	ān//jiā	动	2	伍七Ab
安家	ān//jiā	动	2	伍七Ld
安家立业	ānjiā-lìyè		3	陆一Ma
安家落户	ānjiā-luòhù		2	伍七Ab
安检	ānjiǎn	动	2	陆一Ia
安静	ānjìng	形	1	捌六Db
安居乐业	ānjū-lèyè		3	捌六Ba
安康	ānkāng	形	3	捌六Aa
安乐	ānlè	形	2	捌六Ba
安眠	ānmián	动	3	伍四Fa
安眠药	ānmiányào	名	3	贰十Aa
安宁	ānníng	形	3	捌六Ba
安排	ānpái	动	2	陆一Gb
安贫乐道	ānpín-lèdào		4	捌五Ee
安全	ānquán	形	1	捌六Aa
安然无恙	ānrán-wúyàng		4	捌六Aa
安身立命	ānshēn-lìmìng		4	伍七Aa
安适	ānshì	形	3	捌六Ja
安慰	ānwèi	动	2	陆九Hd
安稳	ānwěn	形	3	捌四Ee
安息	ānxī	动	3	伍四Cb
安息	ānxī	动	3	伍四Fa
安闲	ānxián	形	3	捌六Eb
安详	ānxiáng	形	3	捌五Ge
安心	ānxīn	动	2	伍五Fa
安逸	ānyì	形	4	捌六Ja
安营扎寨	ānyíng-zhāzhài		3	陆六Da
安葬	ānzàng	动	4	伍七Mb
安之若素	ānzhī-ruòsù		4	伍五Fb
安置	ānzhì	动	3	陆一Gb
安装	ānzhuāng	动	2	陆三Ab
俺	ǎn	代	2	壹一Ab
按	àn	动	1	伍一Af
按	àn	介	1	玖二Ea
按兵不动	ànbīng-bùdòng		3	伍五Fb
按部就班	ànbù-jiùbān		3	捌五Pb
按键	ànjiàn	名	2	贰八Cb
按理	ànlǐ	副	3	玖一Gj
按摩	ànmó	动	3	陆五Kc
按时	ànshí	副	1	玖一Ef
按说	ànshuō	副	3	玖一Gj
按图索骥	àntú-suǒjì		4	伍七Jc
按图索骥	àntú-suǒjì		4	捌五Ub
按照	ànzhào	介	1	玖二Ea
案件	ànjiàn	名	3	叁一Ae
案例	ànlì	名	4	叁一Ad
暗	àn	形	1	捌二Db
暗淡	àndàn	形	3	捌二Db
暗号	ànhào	名	2	叁八Ch
暗红	ànhóng	形	2	捌二Aa
暗杀	ànshā	动	3	陆七Fc
暗示	ànshì	动	4	陆九Fa
暗算	ànsuàn	动	3	陆十一Hg
暗无天日	ànwú-tiānrì		3	捌四Pb
暗想	ànxiǎng	动	3	伍五Ra
暗中	ànzhōng	副	3	玖一Ch
暗自	ànzì	副	3	玖一Ch
黯淡	àndàn	形	4	捌二Db
黯然失色	ànrán-shīsè		4	柒六Fe
肮脏	āngzāng	形	3	捌五Qb
肮脏	āngzāng	形	3	捌六Gb
昂贵	ángguì	形	3	捌四Qa
昂首阔步	ángshǒu-kuòbù		3	伍八Ma
凹	āo	形	2	捌一La
凹陷	āoxiàn	动	4	柒二Bb
遨游	áoyóu	动	4	伍七Kd
嗷嗷	áo’áo	拟声	3	玖七Aa
熬	áo	动	3	伍七Ac
熬	áo	动	3	伍七Cb
熬夜	áo//yè	动	3	伍七Db
翱翔	áoxiáng	动	4	伍三Ba
鏖战	áozhàn	动	4	陆六Ca
傲	ào	形	2	捌五Hb
傲慢	àomàn	形	3	捌五Hb
傲气	àoqì	名	3	叁二Fa
傲气	àoqì	形	3	捌五Hb
傲然	àorán	形	4	捌五Hb
奥秘	àomì	名	2	叁一Aa
奥妙	àomiào	形	2	捌四Kc
澳	Ào	名	3	叁五Ae
懊悔	àohuǐ	动	4	伍五Jb
懊恼	àonǎo	形	4	伍五Ca
八	bā	数	1	叁十Be
八方	bāfāng	名	2	肆二Ah
巴结	bā·jie	动	3	陆十一Fa
巴掌	bā·zhang	名	2	壹五Af
扒	bā	动	2	伍一Ai
扒	bā	动	2	伍一Bd
叭	bā	拟声	3	玖七Ca
芭蕾	bālěi	名	3	叁九Ad
捌	bā	数	4	叁十Be
拔	bá	动	1	伍一Ba
拔地而起	bádì’érqǐ		3	柒二Ac
拔河	bá//hé	动	1	陆五Ha
拔尖儿	bá//jiānr	形	3	捌四Cc
跋山涉水	báshān-shèshuǐ		4	陆四Ba
跋涉	báshè	动	4	陆四Ba
把	bǎ	介	1	玖二Ca
把柄	bǎbǐng	名	4	叁一Bb
把持	bǎchí	动	4	伍五Lc
把持	bǎchí	动	4	陆一Db
把关	bǎ//guān	动	3	陆一Ia
把手	bǎ·shou	名	2	贰二Fe
把握	bǎwò	动	2	陆一Da
把戏	bǎxì	名	4	叁三Dc
坝	bà	名	2	贰六Dc
爸爸	bà·ba	名	1	壹一Db
罢黜	bàchù	动	4	陆一Je
罢工	bà//gōng	动	3	陆六Bc
罢免	bàmiǎn	动	4	陆一Je
霸道	bàdào	形	2	捌五Pb
霸占	bàzhàn	动	2	陆一Db
吧	·ba	助	1	玖四Ca
掰	bāi	动	3	伍一Bb
白	bái	形	2	伍二Da
白	bái	形	1	捌二Ag
白	bái	副	2	捌四Fb
白痴	báichī	名	4	壹一Ib
白费	báifèi	动	2	捌四Fb
白净	bái·jing	形	2	捌二Ag
白酒	báijiǔ	名	3	贰九Aj
白驹过隙	báijū-guòxì		4	捌三Pa
白领	báilǐng	名	4	壹一Jb
白鹭	báilù	名	4	壹二Dc
白露	báilù	名	2	肆一Gc
白茫茫	báimángmáng	形	1	捌二Ag
白人	Báirén	名	2	叁四Ac
白日做梦	báirì-zuòmèng		3	伍五Rb
白色	báisè	名	1	贰三Jb
白手起家	báishǒu-qǐjiā		3	陆一Ma
